status,base_file,f_file,output_glb,message
OK,12304211.stl,12304211_F.stl,C:\00_Tandem2026\Desing\Content\DesignTools\obj\Atk-60NewGeneration\GLB\12304211.glb,
OK,12454212.stl,12454212_F.stl,C:\00_Tandem2026\Desing\Content\DesignTools\obj\Atk-60NewGeneration\GLB\12454212.glb,
OK,12604213.stl,12604213_F.stl,C:\00_Tandem2026\Desing\Content\DesignTools\obj\Atk-60NewGeneration\GLB\12604213.glb,
OK,24304244.stl,24304244_F.stl,C:\00_Tandem2026\Desing\Content\DesignTools\obj\Atk-60NewGeneration\GLB\24304244.glb,
OK,24454243.stl,24454243_F.stl,C:\00_Tandem2026\Desing\Content\DesignTools\obj\Atk-60NewGeneration\GLB\24454243.glb,
OK,24604242.stl,24604242_F.stl,C:\00_Tandem2026\Desing\Content\DesignTools\obj\Atk-60NewGeneration\GLB\24604242.glb,
OK,27304205.stl,27304205_F.stl,C:\00_Tandem2026\Desing\Content\DesignTools\obj\Atk-60NewGeneration\GLB\27304205.glb,
OK,27454206.stl,27454206_F.stl,C:\00_Tandem2026\Desing\Content\DesignTools\obj\Atk-60NewGeneration\GLB\27454206.glb,
OK,27904209.stl,27904209_F.stl,C:\00_Tandem2026\Desing\Content\DesignTools\obj\Atk-60NewGeneration\GLB\27904209.glb,
